OBJECTID;Facility;Address__Facility_;ZIP__Facility_;Town__Facility_;Canton__Facility_;Services__Facility_;Institution;Address__Institution_;Town__Institution_;Medic;Nursing_Staff;Medical_Staff_Other;Beds_Acute_Care;Beds_in_Psychiatric_Wards;Beds_in_Rehab;Beds_in_Birth_Centers;longitude;latitude;Beds_Aggregated;Beds_Total;Size_Category;Cost_per_Bed
692;CNP Site de CPCM;Rue de la Jardinière 157a;2300;La Chaux-de-Fonds;NE;Amb;CNP Centre Neuchâtelois de psychiatrie;;2017 Boudry;91.36;198.22;68.65;;106;;;2552508.66;1216079.447;;;;
693;CNP Site de Préfargier;Site de Préfargier;2074;Marin-Epagnier;NE;Amb, Stat;CNP Centre Neuchâtelois de psychiatrie;;2017 Boudry;91.36;198.22;68.65;;106;;;2567297.543;1206222;;;;
694;Campus Brugg-Windisch;Bahnhofstrasse 5a;5210;Windisch;AG;Amb;aarReha Schinznach Zentrum für Rehabilitation;Badstrasse 55;5116 Schinznach Bad;24.8;101.25;58.09;;;139;;2658213.677;1259285.989;;;;
695;Cardiocentro Ticino (CCT);Via Tesserete 48;6900;Lugano;TI;Amb, Stat;EOC Ente ospedaliero cantonale;Viale Officina 3;6500 Bellinzona;913.99;2022.74;643.79;858;;120;;2717325.7;1097467.811;;;;
696;Center da Sanadad Savognin;Stradung 52;7460;Savognin;GR;Amb, Stat;Center da Sanadad Savognin SA;Stradung 52;7460 Savognin;6.79;11.34;8.59;7;;;;2765671.859;1162713.232;;;;
697;Center da Sanda Val Müstair;Via Val Müstair 186;7536;Sta. Maria V. M.;GR;Amb, Stat;Center da Sanda Val Müstair Akutabteilung;Via Val Müstair 186;7536 Sta. Maria V. M.;7.36;6.52;8.25;4;;;;2829335.069;1166102.68;;;;
698;Centrale Servizi Industriali;via Chiasso 22;6710;Biasca;TI;;EOC Ente ospedaliero cantonale;Viale Officina 3;6500 Bellinzona;913.99;2022.74;643.79;858;;120;;2718331.721;1133494.68;;;;
997;Psychiatrie Ouest Hôpital de Prangins;Chemin Oscar Forel 3;1197;Prangins;VD;Amb, Stat;CHUV Centre Hospitalier Universitaire Vaudois;Rue du Bugnon 21;1011 Lausanne;1983.73;3664.13;1986.64;867;320;113;;2509154.004;1139236.001;1300;75;Moderate;157500
700;Centre de physiothérapie ambulatoire;Rue de Lyon 77;1203;Genève;GE;Amb;Clinique de Maisonneuve SA;Avenue de Châtelaine 60­62;1219 Châtelaine;1.93;30.07;20.24;;;45;;2498672.056;1118275.184;;;;
701;Centro Sanitario Bregaglia Reparto Acuto;Flin;7606;Promontogno;GR;Amb, Stat;Centro Sanitario Bregaglia Reparto Acuto;Flin;7606 Promontogno;3.12;24.11;8;4;;;;2761982.044;1133873.081;;;;
702;Centro Sanitario Valposchiavo Ospedale San Sisto;Via da li Clüsüri 1;7742;Poschiavo;GR;Amb, Stat;Centro Sanitario Valposchiavo Ospedale San Sisto;Via da li Clüsüri 1;7742 Poschiavo;1.91;15.14;9.32;12;;;;2802009.567;1133513.263;;;;
722;Clinique Bois-Bougy;Avenue de Bois-Bougy 6;1260;Nyon;VD;Amb, Stat;Clinique Bois-Bougy Sàrl;Avenue de Bois­Bougy 6;1260 Nyon;6.48;41.86;16.47;;;84;;2506917.96;1136418.002;84;84;Moderate;176400
704;Chrysalide;Rue de la Paix 99;2300;La Chaux-de-Fonds;NE;Amb, Stat;Réseau hospitalier neuchâtelois RHNe;Maladière 45;2000 Neuchâtel;429.33;1041.97;321.97;317;;100;;2553053.784;1216626.753;;;;
723;Clinique Bois-Cerf;Avenue d'Ouchy 31;1006;Lausanne;VD;Amb, Stat;Clinique Bois-Cerf;Avenue d'Ouchy 31;1006 Lausanne;5.65;113.21;64.4;68;;;;2537982.885;1151497.132;68;68;Moderate;142800
706;Clienia Littenheid AG;Hauptstrasse 130;9573;Littenheid;TG;Amb, Stat;Clienia Littenheid AG Klinik für Psychiatrie und Psychotherapie;Hauptstrasse 130;9573 Littenheid;72.26;238.33;83.43;;253;;;2718439.992;1255626.244;;;;
707;Clienia Schlössli AG;Schlösslistrasse 8;8618;Oetwil am See;ZH;Amb, Stat;Clienia Schlössli AG;Schlösslistrasse 8;8618 Oetwil am See;72.95;238.74;67.61;;250;;;2696949.436;1236119.372;;;;
708;Clinic Bad Ragaz;Hans Albrecht-Strasse 2;7310;Bad Ragaz;SG;Stat;Kliniken Valens;Taminaplatz 1;7317 Valens;46.6;202.5;136.72;;;246;;2757029.489;1207434.892;;;;
709;Clinica Ars Medica;Via Grumo 16;6929;Gravesano;TI;Amb, Stat;SMN - Clinica Ars Medica;Via Grumo 16;6929 Gravesano;7.38;75.54;43.51;60;;;;2714985.256;1099790.953;;;;
710;Clinica Dr. Spinedi c/o Clinica Santa Croce;Via al Parco 27;6644;Orselina;TI;Stat;Clinica Dr Spinedi c/o Clinica Santa Croce SA a.c.a. sig. Luca Santagostino;Via al Parco 27;6644 Orselina;0.25;0.8;0;15;;;;2704949.804;1115035.202;;;;
711;Clinica Fondazione Varini;Via Consiglio Mezzano 38;6644;Orselina;TI;Amb, Stat;Clinica Fondazione G. Varini;Via Consiglio Mezzano 38;6644 Orselina;4.32;48.14;5.94;10;;;;2705112.372;1114933.171;;;;
712;Clinica Hildebrand Centro di riabilitazione;Via Crodolo 18;6614;Brissago;TI;Amb, Stat;Clinica Hildebrand - Centro di riabilitazione Brissago;Via Crodolo 18;6614 Brissago;17.4;134.98;75.67;;;120;;2698601.954;1108843.983;;;;
713;Clinica Holistica Susch;Plaz 40;7542;Susch;GR;Amb, Stat;Clinica Holistica Engiadina SA;Plaz 40;7542 Susch;6.05;0;27.55;;55;;;2801754.777;1180958.875;;;;
714;Clinica Moncucco;Via Soldino 5;6900;Lugano;TI;Amb, Stat;Gruppo ospedaliero Moncucco Clinica Moncucco;Via Soldino 5;6900 Lugano;84.37;353.79;81.41;183;;;;2716296.179;1095934.891;;;;
715;Clinica Riabilitazione EOC Sede di Novaggio;;6986;Novaggio;TI;Amb, Stat;EOC Ente ospedaliero cantonale;Viale Officina 3;6500 Bellinzona;913.99;2022.74;643.79;858;;120;;2709360.531;1096375.889;;;;
716;Clinica Sant'Anna;Via Sant'Anna 1;6924;Sorengo;TI;Amb, Stat;SMN - Clinica Sant'Anna;Via Sant'Anna 1;6924 Sorengo;12.81;79.8;19.23;70;;;;2716231.878;1095386.34;;;;
717;Clinica Santa Chiara;Via Stefano Franscini 4;6600;Locarno;TI;Amb, Stat;Gruppo ospedaliero Moncucco Clinica Santa Chiara SA;Via Moncucco 10;6900 Lugano;22.62;94.32;19.61;100;;;;2705152.097;1113749.134;;;;
718;Clinica Santa Croce SA;Via al Parco 27;6644;Orselina;TI;Amb, Stat;Clinica Santa Croce SA;Via al Parco 27;6644 Orselina;13.81;50.24;6.87;;82;;;2704949.804;1115035.202;;;;
719;Clinica Viarnetto SA;Via Ceresio 34 b;6963;Pregassona;TI;Stat;Clinica Viarnetto SA;Via Ceresio 34b;6963 Pregassona;10.05;26.84;3.67;;47;;;2718449.257;1097594.924;;;;
720;Clinica psichiatrica cantonale;Via Agostino Maspoli;6850;Mendrisio;TI;Amb, Stat;Clinica psichiatrica cantonale;Via Agostino Maspoli;6850 Mendrisio;21.74;131.56;9.86;;146;;;2719455.435;1079988.353;;;;
721;Clinique Belmont;Route de Chêne 26;1207;Genève;GE;Amb, Stat;Clinique Belmont;Route de Chêne 26;1207 Genève;3.29;17.6;7.94;;24;;;2501751.244;1117287.605;;;;
725;Clinique Cecil;Avenue Louis-Ruchonnet 53;1003;Lausanne;VD;Amb, Stat;Clinique Cecil;Avenue Louis-Ruchonnet 53;1003 Lausanne;4.47;196.33;65.29;86;;;;2537335.999;1152432.003;86;86;Moderate;180600
689;CIC;Rue du Grammont 2;1815;Clarens;VD;Amb, Stat;Clinique CIC Riviera;Rue du Grammont 2;1815 Clarens;0;45.71;4.81;35;;;;2557986.009;1143430.389;35;35;Small;113750
724;Clinique CIC Valais SA;route du Léman 29;1907;Saxon;VS;Amb, Stat;Clinique CIC Valais SA;Route du Léman 29;1907 Saxon;0;34.75;3.47;27;;;;2578804.371;1110286.372;;;;
741;Clinique de la Source;Avenue Vinet 30;1004;Lausanne;VD;Amb, Stat;Clinique de La Source;Avenue Vinet 30;1004 Lausanne;0;225.36;81.65;93;;;;2537793.003;1153196.003;93;93;Moderate;195300
726;Clinique Générale Beaulieu;Chemin de Beau-Soleil 20;1206;Genève;GE;Amb, Stat;Clinique Générale-Beaulieu;Chemin de Beau­Soleil 20;1206 Genève;2.68;208.36;41.07;110;;;;2501428.709;1116055.653;;;;
727;Clinique Générale Ste-Anne;Rue Hans-Geiler 6;1700;Fribourg;FR;Amb, Stat;SMN - Clinique Générale - Ste-Anne SA;Rue Hans­Geiler 6;1700 Fribourg;0;61.18;12.91;57;;;;2578308.003;1183213.449;;;;
728;Clinique La Colline;Avenue de Beau-Séjour 6;1206;Genève;GE;Amb, Stat;Clinique la Colline;Avenue de Beau­Séjour 6;1206 Genève;0.23;138.01;25.82;80;;;;2500511.253;1116368.191;;;;
744;Clinique la Lignière;La Lignière 5;1196;Gland;VD;Amb, Stat;Clinique la Lignière;La Lignière 5;1196 Gland;11.84;54.55;29.89;;15;79;;2511657.001;1142318;94;94;Moderate;197400
730;Clinique Le Noirmont;Chemin de Roc-Montès 20;2340;Le Noirmont;JU;Amb, Stat;Clinique le Noirmont;Chemin de Roc­Montès 20;2340 Le Noirmont;12.58;48.15;18.6;;;90;;2563745.319;1231197.42;;;;
731;Clinique Les Hauts d'Anières;Chemin des Courbes 9;1247;Anières;GE;Amb, Stat;Clinique Les Hauts d'Anières;Chemin des Courbes 9;1247 Anières;2.66;30.16;12.23;;;53;;2506809.749;1126114.383;;;;
732;Clinique Montbrillant;Rue de la Montagne 1;2300;La Chaux-de-Fonds;NE;Amb, Stat;SMN - Neuchâtel;Faubourg de l'Hôpital 81;2000 Neuchâtel;2.21;102.17;18.77;74;;;;2552985.423;1217345.074;;;;
733;Clinique St-Amé;Vers Saint-Amé 10;1890;St-Maurice;VS;Amb, Stat;Hôpital du Valais - Centre hospitalier du Valais Romand CHVR;Avenue du Grand-Champsec 80;1950 Sion;555.77;1385.2;321.14;452;154;145;;2566024.136;1118074.4;;;;
729;Clinique La Prairie;Rue du Lac 142;1815;Clarens;VD;Amb, Stat;Clinique la Prairie SA;Rue du Lac 142;1815 Clarens;0;22.49;20.22;34;;;;2557396.341;1143703.733;34;34;Small;110500
745;Clinique la Métairie;Avenue de Bois-Bougy 8;1260;Nyon;VD;Amb, Stat;Clinique Privée La Métairie Sàrl;Avenue de Bois­Bougy 8;1260 Nyon;6.86;44.9;13.54;;74;;;2506895.001;1136512;74;74;Moderate;155400
736;Clinique de Maisonneuve SA;Avenue de Châtelaine 60-62;1219;Châtelaine;GE;Amb, Stat;Clinique de Maisonneuve SA;Avenue de Châtelaine 60­62;1219 Châtelaine;1.93;30.07;20.24;;;45;;2497804.135;1118615.888;;;;
817;Hôpital de Gilly;Rte du Pavillon 12;1182;Gilly;VD;Amb, Stat;EHC Ensemble hospitalier de la Côte;Chemin du Crêt 2;1110 Morges;212.66;577.06;145.43;216;;59;;2512939;1147176;275;40;Small;130000
738;Clinique de Valère;Rue de Pré-Fleuri 16;1950;Sion;VS;Amb, Stat;SMN - Clinique de Valère;Rue de Pré­Fleuri 16;1950 Sion;2;76.65;16.15;60;;;;2593693.003;1119887.003;;;;
739;Clinique de jour Bienne;Chemin de Fléoles 2;2503;Biel/Bienne;BE;Amb;Réseau de l'Arc SA;Les Fontenayes 17;2610 St-Imier;152.88;421.68;100.6;87;88;8;;2586002.186;1219723.479;;;;
740;Clinique de la Plaine;Rue Charles-Humbert 5;1205;Genève;GE;Amb, Stat;Clinique de la Plaine;Rue Charles­Humbert 5;1205 Genève;1.35;15.33;0.17;6;;;;2499647.444;1117344.932;;;;
823;Hôpital de Morges;Chemin du Crêt 2;1110;Morges;VD;Amb, Stat;EHC Ensemble hospitalier de la Côte;Chemin du Crêt 2;1110 Morges;212.66;577.06;145.43;216;;59;;2527964.998;1152764.004;275;215;Big;838500
742;Clinique des Grangettes SA;Chemin des Grangettes 7;1224;Chêne-Bougeries;GE;Amb, Stat;Clinique des Grangettes SA;Chemin des Grangettes 7;1224 Chêne­Bougeries;11.27;303.28;67.17;115;;;;2502991.631;1117262.304;;;;
743;Clinique du Grand-Salève Sàrl;Avenue du Grand-Salève 2;1255;Veyrier;GE;Stat;Clinique du Grand-Salève Sàrl;Avenue du Grand-Salève 2;1255 Veyrier;1.98;27.51;5.29;;30;12;;2502993.133;1113685.88;;;;
835;Hôptial d'Aubonne;Rue de Trévelin 67;1170;Aubonne;VD;Amb, Stat;EHC Ensemble hospitalier de la Côte;Chemin du Crêt 2;1110 Morges;212.66;577.06;145.43;216;;59;;2519347.998;1149438.003;275;20;Small;65000
814;Hôpital d'Orbe;Chemin de la Magnenette 2;1350;Orbe;VD;Amb, Stat;Etablissements Hospitaliers du Nord Vaudois (eHnv);Rue d'Entremonts 11;1400 Yverdon­les­Bains;178.81;589.79;109.07;195;20;73;;2530835.002;1175774.001;288;20;Small;65000
746;Clinique romande de réadaptation;Avenue du Grand-Champsec 90;1950;Sion;VS;Amb, Stat;Clinique romande de réadaptation CRR (Suva);Avenue du Grand­Champsec 90;1950 Sion;44.89;103.36;103.59;;;148;;2596146.001;1120502.003;;131.6270567;;
747;Clinque de jour Bévilard;Champ de Chin 18;2735;Bévilard;BE;Amb;Réseau de l'Arc SA;Les Fontenayes 17;2610 St-Imier;152.88;421.68;100.6;87;88;8;;2588718.677;1231804.262;;46.06946984;;
748;Daler;Route de Bertigny 34;1700;Fribourg;FR;Amb, Stat;Hôpital Jules Daler;Route de Bertigny 34;1700 Fribourg;0;144.59;15.28;57;;;;2577279.465;1183379.37;;52.65082267;;
749;Dialysezentrum Oerlikon;Andreasstrasse 5;8050;Zürich;ZH;Amb;Stadtspital Zürich;Birmensdorferstrasse 497;8063 Zürich;653.76;1388.26;430.28;538;;;;2683666.055;1251949.712;;37.90859232;;
750;Direzione Generale EOC;Viale Officina 3;6500;Bellinzona;TI;;EOC Ente ospedaliero cantonale;Viale Officina 3;6500 Bellinzona;913.99;2022.74;643.79;858;;120;;2722574.789;1117398.822;;19.7440585;;
751;Drop-in;Bruchstrasse 29a;6007;Luzern;LU;Amb;Luzerner Psychiatrie AG;Schafmattstrasse 1;4915 St. Urban;92.35;367.58;197.82;;313;;;2665465.335;1211387.629;;131.6270567;;
752;EP Klinik Psychiatrie /Psychotherapie;Bienentalstrasse 7;4410;Liestal;BL;Amb, Stat;Psychiatrie Baselland;Bienentalstrasse 7;4410 Liestal;91.78;245.48;132.61;;246;;;2621697.892;1259910.989;;46.06946984;;
753;EP Zentrum für psychische Gesundheit;Hauptstrasse 34;4102;Binningen;BL;Amb;Psychiatrie Baselland;Bienentalstrasse 7;4410 Liestal;91.78;245.48;132.61;;246;;;2610183.691;1265690.726;;52.65082267;;
754;Engeriedspital;Riedweg 15;3012;Bern;BE;Amb, Stat;Lindenhofgruppe AG;Bremgartenstrasse 117;3012 Bern;80.75;945.88;159.5;333;;;;2599916.223;1201001.547;;37.90859232;;
755;Ergolz-Klinik;Hammerstrasse 35;4410;Liestal;BL;Amb, Stat;Ergolz-Klinik;Hammerstrasse 35;4410 Liestal;0.9;6.6;3.7;21;;;;2621574.692;1261004.972;;19.7440585;;
815;Hôpital d'Yverdon-les-Bains;Rue d'Entremonts 11;1400;Yverdon-les-Bains;VD;Amb, Stat;Etablissements Hospitaliers du Nord Vaudois (eHnv);Rue d'Entremonts 11;1400 Yverdon­les­Bains;178.81;589.79;109.07;195;20;73;;2539519.999;1180398.001;288;132;Moderate;277200
757;Estavayer-le-Lac;Rue de la Rochette;1470;Estavayer-le-Lac;FR;Amb, Stat;Hôpital Intercantonal de la Broye (HIB);Avenue de la Colline 3;1530 Payerne;106.36;251.44;80.18;105;;47;;2554728.287;1188971.878;;46.06946984;;
758;Eulachklinik AG;Brunngasse 6;8400;Winterthur;ZH;Amb, Stat;Eulachklinik AG;Brunngasse 6;8400 Winterthur;0;0.72;1.33;0;;;;2696941.608;1262391.868;;52.65082267;;
759;Fachspital Sune-Egge;Konradstrasse 62;8005;Zürich;ZH;Amb, Stat;Sune-Egge;Konradstrasse 62;8005 Zürich;5.66;30.55;4.89;25;;;;2682729.683;1248456.342;;37.90859232;;
760;Fachärztezentrum Glatt;Neue Winterthurerstrasse 99;8304;Wallisellen;ZH;Amb;Kantonsspital Winterthur;Brauerstrasse 15;8400 Winterthur;579.42;1468.94;383.92;347;12;;;2687316.827;1251554.406;;19.7440585;;
761;Felix Platter-Spital;Burgfelderstrasse 101;4055;Basel;BS;Amb, Stat;Felix Platter-Spital;Burgfelderstrasse 101;4055 Basel;69.96;357.04;119.01;138;38;128;;2609443.526;1268243.135;;131.6270567;;
762;Flury Stiftung Spital Schiers;;7220;Schiers;GR;Amb, Stat;Flury Stiftung Spital Schiers;;7220 Schiers;28.82;85.64;29.35;32;;;;2771051.072;1204642.501;;46.06946984;;
816;Hôpital de Chamblon;Route de l'Hôpital 3;1436;Chamblon;VD;Amb, Stat;Etablissements Hospitaliers du Nord Vaudois (eHnv);Rue d'Entremonts 11;1400 Yverdon­les­Bains;178.81;589.79;109.07;195;20;73;;2536613.668;1181270.487;288;53;Moderate;111300
764;Forel Klinik AG Ambulatorium;Sihlquai 255;8005;Zürich;ZH;Amb;Forel Klinik AG;Islikonerstrasse 5;8548 Ellikon an der Thur;9.64;24.3;40.35;;102;;;2682735.151;1246870.178;;37.90859232;;
765;Forel Klinik AG Tagesklinik;Sihlquai 255;8005;Zürich;ZH;Amb;Forel Klinik AG;Islikonerstrasse 5;8548 Ellikon an der Thur;9.64;24.3;40.35;;102;;;2682305.08;1249115.46;;19.7440585;;
766;Forel Klinik AG stationär;Islikonerstrasse 5;8548;Ellikon an der Thur;ZH;Amb, Stat;Forel Klinik AG;Islikonerstrasse 5;8548 Ellikon an der Thur;9.64;24.3;40.35;;102;;;2704399.427;1268700.435;;131.6270567;;
767;Forensisch-psychiatrische Tagesklinik Regionalgefängnis Burgdorf;Dunantstrasse 9;3400;Burgdorf;BE;Amb;Universitäre Psychiatrische Dienste Bern (UPD) AG;Bolligenstrasse 111;3072 Ostermundigen;139.57;400.36;222.17;;364;;;2613288.979;1212682.788;;46.06946984;;
768;Forensischer Dienst;Hobacherweg 2;6010;Kriens;LU;Amb;Luzerner Psychiatrie AG;Schafmattstrasse 1;4915 St. Urban;92.35;367.58;197.82;;313;;;2663468.178;1209591.017;;52.65082267;;
769;Frauen-Permanence Zürich;Goethestrasse 24;8001;Zürich;ZH;Amb;Spital Zollikerberg;Trichtenhauserstrasse 20;8125 Zollikerberg;178.14;484.39;75.01;170;;;;2683829.699;1246738.967;;37.90859232;;
770;Frauenarztpraxis Bremgarten;Sonnengutstrasse 4;5620;Bremgarten AG;AG;Amb;Stiftung Spital Muri;Spitalstrasse 144;5630 Muri AG;104.19;236.05;121.29;101;;;;2668675.92;1244901.937;;19.7440585;;
771;Frick;Mühlegasse 18;5070;Frick;AG;Amb;Privatklinik SALINA Salina Medizin AG;Roberstenstrasse 31;4310 Rheinfelden;9.98;27.17;46.17;;;39;;2643546.545;1262171.389;;131.6270567;;
772;GZF, Fachärztehaus Frick;Mühlegasse 18;5070;Frick;AG;Amb;Gesundheitszentrum Fricktal;Riburgerstrasse 12;4310 Rheinfelden;122.87;283.39;106.91;129;;;;2643546.545;1262171.389;;46.06946984;;
773;GZF, Spital Laufenburg;Spitalstrasse 10;5080;Laufenburg;AG;Amb, Stat;Gesundheitszentrum Fricktal;Riburgerstrasse 12;4310 Rheinfelden;122.87;283.39;106.91;129;;;;2647078.732;1268140.986;;52.65082267;;
774;GZF, Spital Rheinfelden;Riburgerstrasse 12;4310;Rheinfelden;AG;Amb, Stat;Gesundheitszentrum Fricktal;Riburgerstrasse 12;4310 Rheinfelden;122.87;283.39;106.91;129;;;;2627703.548;1267223.616;;37.90859232;;
775;GZO Spital Wetzikon;Spitalstrasse 66;8620;Wetzikon ZH;ZH;Amb, Stat;GZO Spital Wetzikon;Spitalstrasse 66;8620 Wetzikon ZH;125.28;335.99;56.93;129;;;;2703103.064;1242079.588;;19.7440585;;
776;Geburtshaus Delphys;Badenerstrasse 177;8003;Zürich;ZH;Amb, Stat;Geburtshaus Delphys;Badenerstrasse 177;8003 Zürich;0;8;0;;;;4;2681686.653;1247622.32;;131.6270567;;
777;Geburtshaus Luna Bern;Oberdorfstrasse 56;3072;Ostermundigen;BE;Amb, Stat;Geburtshaus Luna AG;Oberdorfstrasse 56;3072 Ostermundigen;0;17.83;0.13;;;;5;2603947.314;1200355.894;;46.06946984;;
778;Geburtshaus Maternité Alpine;Eggetlistrasse 5a;3770;Zweisimmen;BE;Amb, Stat;Genossenschaft Geburtshaus Simmental-Saaneland - Maternité Alpine;Eggetlistrasse 5a;3770 Zweisimmen;0;7.83;0;;;;2;2595038.993;1156595.044;;52.65082267;;
779;Geburtshaus St.Gallen;Lindenstrasse 71;9000;St. Gallen;SG;Amb, Stat;Geburtshaus St.Gallen GmbH;Lindenstrasse 71;9000 St. Gallen;0;15.38;0;;;;5;2747451.366;1255430.971;;37.90859232;;
780;Geburtshaus Stans GmbH;Hansmatt 13a;6370;Stans;NW;Amb, Stat;Geburtshaus Stans GmbH;Hansmatt 13a;6370 Stans;0;5.52;0;;;;3;2669657.234;1202224.727;;19.7440585;;
781;Geburtshaus Tagmond;Liestalerstrasse 21;4133;Pratteln;BL;Amb, Stat;Geburtshaus Tagmond GmbH;Liestalerstrasse 21;4133 Pratteln;0;7.07;0;;;;3;2619835.733;1263023.833;;131.6270567;;
782;Geburtshaus Terra Alta Luzern;Reckenbühlstr.14/St.Karlistr.37;6005;Luzern;LU;Amb, Stat;Geburtshaus Terra Alta;Schellenrain 20;6208 Oberkirch LU;0;29.73;0.44;;;;9;2665551.865;1210812.048;;46.06946984;;
783;Geburtshaus Terra Alta Oberkirch;Schellenrain 20;6208;Oberkirch LU;LU;Amb, Stat;Geburtshaus Terra Alta;Schellenrain 20;6208 Oberkirch LU;0;29.73;0.44;;;;9;2650115.252;1223646.099;;52.65082267;;
784;Geburtshaus Winterthur AG;Lindstrasse 16;8400;Winterthur;ZH;Amb, Stat;Geburtshaus Winterthur AG;Lindstrasse 16;8400 Winterthur;0;11.32;0;;;;2;2697237.815;1262385.955;;37.90859232;;
785;Geburtshaus Zürcher Oberland  AG;Schürlistrasse 3;8344;Bäretswil;ZH;Amb, Stat;Geburtshaus Zürcher Oberland AG;Schürlistrasse 3;8344 Bäretswil;0;17.48;0;;;;8;2706466.173;1243345.362;;19.7440585;;
786;Geburtshaus ambra GmbH;Unterdorfstrasse 25;4443;Wittinsburg;BL;Amb, Stat;Geburtshaus ambra GmbH;Unterdorfstrasse 25;4443 Wittinsburg;;;;;;;;2630405.782;1252636.779;;131.6270567;;
787;Geissbergstrasse 81;Geissbergstrasse 81;8208;Schaffhausen;SH;Amb, Stat;Spitäler Schaffhausen;Geissbergstrasse 81;8208 Schaffhausen;160.49;481.39;208.68;167;62;32;;2689977.481;1285217.835;;46.06946984;;
788;Gemeindepsychiatrisches Zentrum Morgenstrasse Bern;Morgenstrasse 83;3018;Bern;BE;Amb, Stat;Universitäre Psychiatrische Dienste Bern (UPD) AG;Bolligenstrasse 111;3072 Ostermundigen;139.57;400.36;222.17;;364;;;2596585.475;1198571.761;;52.65082267;;
789;Geriatrische Klinik St.Gallen;Rorschacher Strasse 94;9000;St. Gallen;SG;Amb, Stat;Geriatrische Klinik St. Gallen;Rorschacher Strasse 94;9000 St. Gallen;25.02;129.47;35.85;98;;;;2747149.003;1254957.047;;37.90859232;;
790;Gesundheitszentrum Psychiatrie Kornhausgasse;Kornhausgasse 7;4051;Basel;BS;Amb;Universitäre Psychiatrische Kliniken Basel;Wilhelm Klein­Strasse 27;4056 Basel;108.17;342.12;189.18;;325;;;2610907.366;1267302.422;;19.7440585;;
791;GiA Luzern;Voltastrasse 42;6005;Luzern;LU;Amb;Luzerner Psychiatrie AG;Schafmattstrasse 1;4915 St. Urban;92.35;367.58;197.82;;313;;;2665799.095;1210248.644;;131.6270567;;
792;GiA Sursee;Surentalstrasse 10;6210;Sursee;LU;Amb;Luzerner Psychiatrie AG;Schafmattstrasse 1;4915 St. Urban;92.35;367.58;197.82;;313;;;2650924.938;1225448.474;;46.06946984;;
828;Hôpital de Saint-Loup;Route de St-Loup 13;1318;Pompaples;VD;Amb, Stat;Etablissements Hospitaliers du Nord Vaudois (eHnv);Rue d'Entremonts 11;1400 Yverdon­les­Bains;178.81;589.79;109.07;195;20;73;;2528465.587;1168770.391;288;53;Moderate;111300
794;HFR Fribourg - Hôpital cantonal;Chemin des Pensionnats 2-6;1708;Fribourg;FR;Amb, Stat;HFR - Hôpital fribourgeois;Case postale;1708 Fribourg;598.06;1306.83;313.49;471;;124;;2577048.198;1183430.675;;37.90859232;;
795;HFR Meyriez-Murten;Chemin du Village 24;3280;Murten;FR;Amb, Stat;HFR - Hôpital fribourgeois;Case postale;1708 Fribourg;598.06;1306.83;313.49;471;;124;;2574804.586;1196862.385;;19.7440585;;
796;HFR Riaz;Rue de l'Hôpital 9;1632;Riaz;FR;Amb, Stat;HFR - Hôpital fribourgeois;Case postale;1708 Fribourg;598.06;1306.83;313.49;471;;124;;2571052.128;1165624.718;;131.6270567;;
797;HFR Tafers;Maggenberg 1;1712;Tafers;FR;Amb, Stat;HFR - Hôpital fribourgeois;Case postale;1708 Fribourg;598.06;1306.83;313.49;471;;124;;2582704.555;1184398.99;;46.06946984;;
798;HNZB Münsterlingen;Spitalstrasse 15;8596;Münsterlingen;TG;Amb, Stat;Herz-Neuro-Zentrum Bodensee AG;Spitalstrasse 15;8596 Münsterlingen;29.27;68.21;37.87;28;;;;2735250.592;1276975.425;;52.65082267;;
973;Permanence de Cossonay;Route d'Aubonne 2;1304;Cossonay;VD;Amb;Etablissements Hospitaliers du Nord Vaudois (eHnv);Rue d'Entremonts 11;1400 Yverdon­les­Bains;178.81;589.79;109.07;195;20;73;;2528441.96;1162968.003;288;38;Small;123500
800;HUG - Clinique de Crans-Montana Réadaptation;Impasse Clairmont 2;3963;Crans-Montana;VS;Stat;Les Hôpitaux Universitaires de Genève HUG;Rue Gabrielle­Perret­Gentil 4;1205 Genève;2093.97;5629.54;1336.21;1149;283;375;;2604278.653;1129436.471;;;;
801;HUG - Clinique de Joli-Mont - Réadaptation;Av. Jean-Trembley 45;1209;Genève;GE;Stat;Les Hôpitaux Universitaires de Genève HUG;Rue Gabrielle­Perret­Gentil 4;1205 Genève;2093.97;5629.54;1336.21;1149;283;375;;2498104.84;1119722.976;;;;
802;HUG - Réadaptation;Rue Gabrielle-Perret-Gentil 4;1205;Genève;GE;Amb, Stat;Les Hôpitaux Universitaires de Genève HUG;Rue Gabrielle­Perret­Gentil 4;1205 Genève;2093.97;5629.54;1336.21;1149;283;375;;2500451.002;1116615.634;;;;
803;HUG - Soins aigus;Rue Gabrielle-Perret-Gentil 4;1205;Genève;GE;Amb, Stat;Les Hôpitaux Universitaires de Genève HUG;Rue Gabrielle­Perret­Gentil 4;1205 Genève;2093.97;5629.54;1336.21;1149;283;375;;2500451.002;1116615.634;;;;
804;HUG - Soins psychiatriques;Rue Gabrielle-Perret-Gentil 4;1205;Genève;GE;Amb, Stat;Les Hôpitaux Universitaires de Genève HUG;Rue Gabrielle­Perret­Gentil 4;1205 Genève;2093.97;5629.54;1336.21;1149;283;375;;2500451.002;1116615.634;;;;
